id,breeder,pigeon,name,speed,lat,lon
1,Jerdee,0001-IF15-POWS,Gwenn,91.595,36.1,-110.7
2,Jerdee,0003-IF15-POWS,Charlene,91.595,27.6,-94.1
3,Jerdee,0005-IF15-POWS,Marilynn,91.643,43.1,-108.1
4,Dave Harrett,0007-AU15-JEDD,Chelsey,100.18,37.9,-84.7
5,Jerdee,0007-IF15-POWS,Kisha,91.508,33.9,-112.1
6,Dave Harrett,0009-AU15-JEDD,Malka,160.731,44.5,-104.3
7,Jerdee,0010-IF15-POWS,Judi,91.413,38,-85.8
8,Dave Harrett,0011-AU15-JEDD,Joleen,150.685,30.2,-89.8
9,Jerdee,0011-IF15-POWS,Pura,91.239,28.2,-108.2
10,E & E Loft,0012-AU15-EE,Aleshia,91.263,42.8,-102
11,Dave Harrett,0012-AU15-JEDD,Rosemarie,109.43,37,-91
12,Miller Loft 2,0013-AU15-RBPC,Hilaria,115.334,40.2,-94.5
13,E & E Loft,0016-AU15-EE,Hildred,91.611,33.9,-102.7
14,E & E Loft,0017-AU15-EE,Rita,91.579,36.2,-105.5
15,Dave Harrett,0019-AU15-JEDD,Exie,129.586,42.3,-114.7
16,Dave Harrett,0022-AU15-JEDD,Zenaida,106.43,36,-84.1
17,Dal-Tex R P C,0030-AU15-DRPC,Kristen,126.467,35.1,-90.6
18,Andy Skwiat,0031-AU15-ANDY,Rolanda,98.315,46.4,-89.1
19,Dal-Tex R P C,0031-AU15-DRPC,Anisha,162.187,48.7,-101.6
20,Andy Skwiat,0032-AU15-ANDY,Rowena,95.54,44.2,-105.1
21,Dal-Tex R P C,0032-AU15-DRPC,Marivel,163.19,38.6,-114
22,Andy Skwiat,0035-AU15-ANDY,Mattie,128.42,42.6,-102.4
23,Andy Skwiat,0038-AU15-ANDY,Mariette,150.021,30,-109.3
24,Andy Skwiat,0041-AU15-ANDY,Violette,152.052,40.9,-88.8
25,Andy Skwiat,0042-AU15-ANDY,Madelyn,160.048,38.9,-82.5
26,Andy Skwiat,0049-AU15-ANDY,Dina,139.351,43.3,-113.9
27,Family Loft,0055-AU15-FAM,Shanta,100.39,46.2,-102
28,Andy Skwiat,0056-AU15-ANDY,Jesusita,120.397,34.6,-99.7
29,Family Loft,0056-AU15-FAM,Orville,122.166,40.3,-106.2
30,Andy Skwiat,0060-AU15-ANDY,Aleen,135.402,27.1,-109.8
31,Family Loft,0062-AU15-FAM,Omer,143.031,34.2,-82.4
32,Family Loft,0065-AU15-FAM,Kory,104.451,30,-85.2
33,Family Loft,0067-AU15-FAM,Agripina,149.83,36.2,-107.2
34,Hutchins/Milner,0076-AU15-HUTC,Kizzie,121.673,40.4,-115.7
35,Hutchins/Milner,0077-AU15-HUTC,Adelina,91.365,36.2,-101.8
36,King City,0081-AU15-AIRC,Kingston,115.549,34.4,-97.8
37,King City,0085-AU15-AIRC,Gage,99.426,38.6,-109.3
38,Hutchins/Milner,0085-AU15-HUTC,Danita,91.381,31.7,-102.4
39,King City,0087-AU15-AIRC,Gypsy,139.775,27.2,-99.7
40,Credeur Family Loft,0106-AU15-CFL,Tammi,148.502,39.1,-86.6
41,Credeur Family Loft,0114-AU15-CFL,Eulah,144.105,38.4,-103.3
42,Family Loft,0147-AU15-FAM,Deanna,120.99,35,-84.4
43,Leyba's Loft,0147-AU15-FTSU,Loris,151.572,29.5,-107.8
44,Leyba's Loft,0150-AU15-FTSU,Tammy,100.725,33,-83.6
45,Family Loft,0151-AU15-FAM,Colton,98.324,29.8,-113.9
46,Family Loft,0152-AU15-FAM,Karol,119.796,36.7,-90.3
47,Family Loft,0153-AU15-FAM,Sheridan,157.683,35,-85.5
48,Family Loft,0154-AU15-FAM,Reed,146.585,48.7,-114.8
49,Family Loft,0155-AU15-FAM,Lorri,149.342,33.8,-96.1
50,Family Loft,0158-AU15-FAM,Lois,152.161,43.8,-88.1
51,Clear Springs Loft,0235-AU15-NWFI,Mickie,161.049,41.4,-108.4
52,Clear Springs Loft,0246-AU15-NWFI,Edyth,100.629,28.6,-95.5
53,Clear Springs Loft,0263-AU15-NWFI,Nora,161.32,35.8,-114.3
54,Alonso Loft,0313-AU15-ALON,Shondra,114.783,47.6,-97.6
55,Alonso Loft,0314-AU15-ALON,Esther,109.125,46.9,-108
